    Topic  Count                                           Name
0      -1    296                       -1_user_data_use_provide
1       0     36              0_brand_product_marketing_content
2       1     30                       1_true_soft_face_natural
3       2     27              2_academic_research_writing_topic
4       3     26                           3_prompt_ai_null_use
5       4     26            4_cinematic_realistic_natural_light
6       5     24             5_subject_lighting_cinematic_image
7       6     23          6_english_language_sentence_sentences
8       7     23              7_market_analysis_stock_financial
9       8     22                 8_parchment_city_ink_miniature
10      9     21                  9_turkish_slightly_efes_small
11     10     21                 10_job_skills_career_interview
12     11     20  11_sponsors_project_sponsors page_sponsorship
13     12     19               12_code_review_feedback_software
14     13     19                      13_advice_help_buddha_act
