    Topic  Count                                    Name
0      -1    142           -1_text_content_soft_lighting
1       0     65           0_content_product_brand_video
2       1     40        1_implement_add_using_responsive
3       2     40               2_file_files_code_library
4       3     36               3_advice_patient_help_act
5       4     30       4_academic_writing_research_topic
6       5     29                  5_ve_ile_güvenlik_test
7       6     28       6_dark_photography_lighting_style
8       7     28          7_code_provide_review_software
9       8     27            8_city_parchment_weather_ink
10      9     24  9_cinematic_silhouette_realistic_light
11     10     24     10_subject_lighting_cinematic_image
12     11     24          11_diy_emergency_severity_user
13     12     22        12_business_understand_ideas_age
14     13     22        13_visible_color_subject_texture
